Ideology,PolParty,SlantProf,PolitProf,SlantPolice,PolitPolice,ProfCond,PoliceCond,ACProfPass,ACPolicePass,TrustProf,TrustPolice,FundProf,AdviceProf,DeferProf,SupportProf,FundPolice,AdvicePolice,DeferPolice,SupportPolice
3,4,2,3, , ,-1, ,1, ,4, ,4,4,4,4, , , , 
3,4,3,5, , ,1, ,1, ,1, ,5,3,4,4, , , , 
3,2, , ,6,6, ,1, ,1, ,1, , , , ,1,1,1,1
1,3,2,3, , ,0, ,1, ,3, ,4,4,4,4, , , , 
1,3, , ,6,6, ,-1, ,1, ,2, , , , ,3,2,2,2.333333333
3,3, ,4, , ,-1, ,1, ,4, ,3,3,4,3.333333333, , , , 
5,1, , ,6,5, ,0, ,1, ,3, , , , ,3,2,3,2.666666667
4,3,2,4, , ,0, ,1, ,3, ,4,4,3,3.666666667, , , , 
1,2, , ,6,6, ,0, ,1, ,2, , , , ,1,1,1,1
3,1, , ,6,5, ,-1, ,1, ,4, , , , ,3,3,3,3
2,2, , ,6,6, ,1, ,1, ,2, , , , ,1,1,2,1.333333333
3,2, , ,6,4, ,-1, ,1, ,4, , , , ,4,2,3,3
1,2,2,4, , ,1, ,1, ,5, ,5,6,5,5.333333333, , , , 
4,3, , ,6,3, ,0, ,1, ,4, , , , ,3,3,3,3
1,2,3,2, , ,-1, ,1, ,5, ,4,5,4,4.333333333, , , , 
4,3,2,6, , ,1, ,1, ,4, ,3,2,3,2.666666667, , , , 
1,2, , ,7,6, ,0, ,1, ,1, , , , ,1,2,1,1.333333333
4,3, , ,6,3, ,1, , , ,3, , , , ,4,2,3,3
1,2,1,1, , ,0, ,1, ,4, ,5,5,4,4.666666667, , , , 
1,2,1,3, , ,0, ,1, ,3, ,2,2,4,2.666666667, , , , 
4,1, , ,6,4, ,-1, ,1, ,3, , , , ,4,2,2,2.666666667
1,4, , ,7,6, ,1, ,1, ,1, , , , ,1,1,2,1.333333333
2,2,3,1, , ,0, ,1, ,4, ,4,4,4,4, , , , 
3,3,2,3, , ,1, ,1, ,4, ,3,4,3,3.333333333, , , , 
3,2,2,2, , ,-1, ,1, ,5, ,5,4,4,4.333333333, , , , 
2,2,2,3, , ,1, ,1, ,5, ,4,4,4,4, , , , 
4,3, , ,6,5, ,-1, ,1, ,4, , , , ,4,4,4,4
6,1, , ,7,3, ,1, ,1, ,6, , , , ,6,5,4,5
2,2, , ,6,6, ,-1, ,1, ,2, , , , ,4,4,3,3.666666667
1,2, , ,6,3, ,0, ,1, ,3, , , , ,2,3,4,3
3,2,2,3, , ,0, ,1, ,5, ,4,4,4,4, , , , 
5,1,2,3, , ,-1, ,1, ,4, ,3,4,4,3.666666667, , , , 
2,2, , ,6,6, ,1, ,1, ,1, , , , ,1,1,2,1.333333333
4,3, , ,6,4, ,0, ,1, ,3, , , , ,3,4,3,3.333333333
4,3,2,3, , ,0, ,1, ,4, ,4,4,3,3.666666667, , , , 
4,1, , ,5,4, ,1, ,1, ,3, , , , ,4,3,2,3
3,2, , ,6,5, ,-1, ,1, ,4, , , , ,3,5,4,4
5,1,2,2, , ,1, ,1, ,4, ,3,3,2,2.666666667, , , , 
6,1,2,5, , ,-1, ,1, ,4, ,5,5,2,4, , , , 
2,2,2,3, , ,-1, ,1, ,4, ,4,4,4,4, , , , 
3,2, , ,6,5, ,0, ,1, ,4, , , , ,4,3,3,3.333333333
1,2,2,5, , ,1, ,1, ,6, ,6,6,6,6, , , , 
7,1,2,6, , ,0, ,1, ,2, ,1,1,1,1, , , , 
1,2,2,3, , ,-1, ,1, ,4, ,4,5,4,4.333333333, , , , 
2,2, , ,6,4, ,-1, ,1, ,1, , , , ,1,4,3,2.666666667
2,2,2,3, , ,1, , , ,5, ,5,5,4,4.666666667, , , , 
5,1,2,4, , ,-1, ,1, ,4, ,4,4,3,3.666666667, , , , 
4,3,2,3, , ,1, ,1, ,4, ,4,5,5,4.666666667, , , , 
3,2, , ,6,4, ,-1, , , ,3, , , , ,4,4,2,3.333333333
2,2, , ,6,5, ,1, , , ,3, , , , ,1,1,2,1.333333333
4,3, , ,5,3, ,-1, ,1, ,3, , , , ,4,4,3,3.666666667
1,2, , ,6,5, ,1, ,1, ,2, , , , ,1,2,1,1.333333333
3,2,2,2, , ,-1, ,1, ,4, ,4,4,3,3.666666667, , , , 
2,2,3,3, , ,0, ,1, ,3, ,5,5,4,4.666666667, , , , 
2,2,2,5, , ,1, ,1, ,5, ,5,5,5,5, , , , 
1,4, , ,6,6, ,0, ,1, ,2, , , , ,1,1,2,1.333333333
5,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2,2,2,3, , ,1, ,1, ,4, ,5,5,4,4.666666667, , , , 
2,2, , ,6,5, ,0, ,1, ,4, , , , ,4,4,4,4
3,3,2,3, , ,-1, , , ,5, ,4,4,3,3.666666667, , , , 
6,1,2,3, , ,-1, ,1, ,4, ,4,4,3,3.666666667, , , , 
2,2,2,1, , ,0, ,1, ,5, ,6,6,4,5.333333333, , , , 
2,2, , ,6,6, ,1, ,1, ,2, , , , ,2,1,1,1.333333333
3,2, , ,6,4, ,-1, ,1, ,5, , , , ,4,6,5,5
4,2,4,2, , ,0, ,1, ,4, ,3,4,3,3.333333333, , , , 
3,2, , ,6,5, ,0, ,1, ,2, , , , ,3,2,3,2.666666667
4,4, , ,6,5, ,0, ,1, ,3, , , , ,2,2,2,2
2,3,3,3, , ,1, ,1, ,4, ,4,5,4,4.333333333, , , , 
2,3, , ,6,3, ,1, ,1, ,4, , , , ,3,4,4,3.666666667
5,3, , ,6,2, ,1, ,1, ,4, , , , ,4,4,4,4
4,2,2,5, , ,-1, ,1, ,2, ,3,3,2,2.666666667, , , , 
4,2,3,4, , ,1, ,1, ,5, ,5,5,4,4.666666667, , , , 
2,2, , ,6,5, ,1, ,1, ,2, , , , ,1,2,3,2
2,3, , ,6,5, ,-1, ,1, ,1, , , , ,2,1,3,2
6,1,3,3, , ,0, ,1, ,4, ,5,4,4,4.333333333, , , , 
5,4, , ,6,3, ,1, ,1, ,1, , , , ,4,4,3,3.666666667
5,1, , ,5,2, ,-1, ,1, ,5, , , , ,4,4,4,4
2,2,2,4, , ,1, ,1, ,5, ,5,6,4,5, , , , 
5,2,5,6, , ,-1, ,1, ,4, ,5,4,3,4, , , , 
1,2,1,6, , ,0, ,1, ,4, ,4,5,4,4.333333333, , , , 
4,1, , ,5,4, ,1, ,1, ,3, , , , ,4,4,4,4
2,2, , ,6,5, ,0, ,1, ,2, , , , ,2,1,2,1.666666667
1,2, , ,6,5, ,0, ,1, ,2, , , , ,1,4,2,2.333333333
3,3,2,4, , ,1, ,1, ,5, ,4,5,4,4.333333333, , , , 
5,3,2,5, , ,0, ,1, ,3, ,1,1,1,1, , , , 
2,3, , ,6,5, ,-1, ,1, ,3, , , , ,4,4,3,3.666666667
5,3,2,5, , ,-1, ,1, ,4, ,5,5,4,4.666666667, , , , 
6,1, , ,1,4, ,0, ,1, ,5, , , , ,6,5,5,5.333333333
4,3,2,4, , ,0, ,1, ,4, ,5,4,4,4.333333333, , , , 
3,2,2,2, , ,0, ,1, ,5, ,6,5,3,4.666666667, , , , 
7,1, , ,6,1, ,0, ,1, ,5, , , , ,6,5,4,5
1,2, , ,6,5, ,1, ,1, ,1, , , , ,1,1,1,1
5,3,2,4, , ,-1, ,1, ,3, ,3,4,4,3.666666667, , , , 
4,1,2,3, , ,-1, ,1, ,4, ,4,5,3,4, , , , 
3,2,2,4, , ,1, ,1, ,2, ,3,3,3,3, , , , 
4,1, , ,6,3, ,1, ,1, ,4, , , , ,5,4,4,4.333333333
4,3,2,3, , ,1, ,1, ,3, ,4,4,4,4, , , , 
4,2,4,2, , ,-1, ,1, ,5, ,4,4,4,4, , , , 
1,2,3,3, , ,1, ,1, ,5, ,5,4,4,4.333333333, , , , 
1,2, , ,6,5, ,-1, ,1, ,3, , , , ,3,4,4,3.666666667
1,2,2,3, , ,-1, ,1, ,5, ,4,6,4,4.666666667, , , , 
3,2,2,4, , ,0, ,1, ,4, ,5,5,4,4.666666667, , , , 
3,2, , ,6,5, ,0, ,1, ,1, , , , ,1,1,1,1
5,3, , ,4,4, ,1, , , ,5, , , , ,5,4,5,4.666666667
5,1,2,5, , ,-1, ,1, ,4, ,4,4,3,3.666666667, , , , 
3,2, , ,6,5, ,1, ,1, ,3, , , , ,2,3,2,2.333333333
2,2,2,2, , ,0, ,1, ,4, ,4,4,3,3.666666667, , , , 
1,3,2,3, , ,0, ,1, ,3, ,4,5,4,4.333333333, , , , 
4,3, , ,6,4, ,0, ,1, ,2, , , , ,3,3,3,3
2,3, , ,6,5, ,1, ,1, ,3, , , , ,3,2,2,2.333333333
3,2, , ,6,4, ,-1, ,1, ,2, , , , ,3,3,4,3.333333333
4,3,2,6, , ,1, ,1, ,3, ,5,4,4,4.333333333, , , , 
2,3, , ,6,4, ,0, ,1, ,3, , , , ,3,5,5,4.333333333
1,2, , ,6,6, ,-1, ,1, ,1, , , , ,1,2,1,1.333333333
3,3,2,3, , ,1, ,1, ,2, ,4,2,3,3, , , , 
3,2, , ,6,5, ,1, , , ,2, , , , ,1,3,2,2
1,2, , , ,5, ,0, ,1, ,3, , , , ,2,1,5,2.666666667
2,2, , ,5,4, ,-1, ,1, ,4, , , , ,3,4,4,3.666666667
2,3,2,1, , ,0, ,1, ,5, ,5,6,5,5.333333333, , , , 
1,2, , ,6,5, ,0, ,1, ,2, , , , ,2,3,3,2.666666667
3,3, , ,6,4, ,-1, ,1, ,4, , , , ,3,4,2,3
2,2, , ,6,6, ,0, ,1, ,2, , , , ,1,2,2,1.666666667
6,3,4,3, , ,-1, , , ,3, ,4,4,4,4, , , , 
6,1, , ,6,1, ,-1, ,1, ,5, , , , ,5,5,3,4.333333333
6,1,2,6, , ,-1, ,1, ,3, ,1,2,2,1.666666667, , , , 
5,1,2,5, , ,-1, ,1, ,5, ,5,5,5,5, , , , 
1,2, , ,6,6, ,1, ,1, ,1, , , , ,1,1,1,1
5,1,2,2, , ,0, ,1, ,4, ,4,3,3,3.333333333, , , , 
3,2,2,1, , ,1, ,1, ,5, ,4,6,5,5, , , , 
4,3, , ,7,6, ,-1, ,1, ,1, , , , ,1,1,1,1
1,3, , ,6,6, ,0, ,1, ,1, , , , ,1,1,2,1.333333333
5,3,2,3, , ,-1, ,1, ,3, ,3,4,4,3.666666667, , , , 
4,3, , ,5,3, ,-1, ,1, ,4, , , , ,4,5,4,4.333333333
2,3, , ,6,6, ,0, ,1, ,2, , , , ,4,4,3,3.666666667
2,2,2,3, , ,-1, ,1, ,3, ,5,5,4,4.666666667, , , , 
2,3,2,5, , ,1, ,1, ,5, ,5,6,4,5, , , , 
2,2, , ,7,6, ,1, ,1, ,1, , , , ,1,1,1,1
2,2,3,2, , ,1, ,1, ,4, ,5,5,5,5, , , , 
4,3,2,3, , ,1, ,1, ,3, ,4,5,3,4, , , , 
2,2,3,2, , ,0, ,1, ,5, ,4,4,4,4, , , , 
3,2, , ,6,3, ,1, ,1, ,4, , , , ,4,5,4,4.333333333
1,2, , ,6,5, ,-1, ,1, ,2, , , , ,2,3,2,2.333333333
3,2,2,2, , ,0, ,1, ,4, ,5,5,5,5, , , , 
1,4, , ,6,5, ,-1, ,1, ,2, , , , ,1,1,4,2
4,2,3,3, , ,0, ,1, ,4, ,4,4,4,4, , , , 
3,2, , ,6,6, ,1, ,1, ,3, , , , ,4,4,4,4
1,2,2,2, , ,1, ,1, ,3, ,4,4,3,3.666666667, , , , 
6,1, , ,6,1, ,0, ,1, ,5, , , , ,6,6,6,6
2,2, , ,6,5, ,1, , , ,3, , , , ,2,4,3,3
5,1,2,3, , ,-1, ,1, ,3, ,5,5,4,4.666666667, , , , 
4,2, , ,4,3, ,1, , , ,3, , , , ,4,4,4,4
5,3, , ,6,4, ,0, ,1, ,2, , , , ,1,2,3,2
2,2,2,4, , ,1, , , ,5, ,4,5,4,4.333333333, , , , 
2,2, , ,6,5, ,-1, ,1, ,3, , , , ,3,4,3,3.333333333
2,2,4,2, , ,-1, ,1, ,2, ,5,4,3,4, , , , 
1,2,2,5, , ,0, ,1, ,4, ,3,3,3,3, , , , 
1,2, , ,7,6, ,0, ,1, ,2, , , , ,1,1,2,1.333333333
2,3, , ,6,5, ,1, ,1, ,2, , , , ,2,1,2,1.666666667
4,3, , ,7,5, ,-1, ,1, ,1, , , , ,1,1,1,1
4,3, , ,6,6, ,0, ,1, ,3, , , , ,4,3,3,3.333333333
5,1,2,2, , ,1, ,1, ,4, ,4,3,4,3.666666667, , , , 
2,2,2,3, , ,-1, ,1, ,5, ,4,5,5,4.666666667, , , , 
2,2,2,3, , ,0, ,1, ,4, ,4,4,4,4, , , , 
3,3,2,4, , ,0, ,1, ,2, ,3,3,3,3, , , , 
4,2, , ,6,5, ,0, ,1, ,1, , , , ,1,2,3,2
2,2, , ,6,5, ,1, ,1, ,3, , , , ,2,4,4,3.333333333
1,2,2,2, , ,0, ,1, ,5, ,6,5,3,4.666666667, , , , 
2,2, , ,6,6, ,-1, ,1, ,1, , , , ,2,4,3,3
1,2, , ,5,6, ,-1, ,1, ,1, , , , ,2,2,1,1.666666667
5,3,2,6, , ,1, ,1, ,2, ,1,1,1,1, , , , 
4,3, , ,5,4, ,-1, ,1, ,4, , , , ,3,4,5,4
3,2,2,1, , ,0, ,1, ,5, ,5,4,4,4.333333333, , , , 
2,2,3,3, , ,1, ,1, ,5, ,6,5,2,4.333333333, , , , 
5,1, , ,6,4, ,0, ,1, ,5, , , , ,5,5,4,4.666666667
2,2, , ,6,5, ,-1, ,1, ,3, , , , ,3,3,4,3.333333333
4,1, , ,6,4, ,1, ,1, ,4, , , , ,4,4,3,3.666666667
5,1,2,4, , ,-1, , , ,5, ,6,5,5,5.333333333, , , , 
3,2, , ,6,4, ,1, , , ,4, , , , ,4,4,3,3.666666667
2,2,2,3, , ,-1, ,1, ,4, ,4,4,4,4, , , , 
3,2,2,3, , ,1, ,1, ,5, ,4,6,5,5, , , , 
1,2, , ,4,5, ,1, ,1, ,2, , , , ,1,1,2,1.333333333
1,3, , ,6,6, ,0, ,1, ,1, , , , ,1,1,1,1
2,2,2,5, , ,1, ,1, ,5, ,5,6,3,4.666666667, , , , 
3,2,2,2, , ,0, ,1, ,4, ,4,5,4,4.333333333, , , , 
6,1,2,6, , ,1, ,1, ,2, ,2,3,3,2.666666667, , , , 
3,2,2,4, , ,-1, ,1, ,5, ,4,5,4,4.333333333, , , , 
5,2,2,5, , ,0, ,1, ,4, ,1,2,1,1.333333333, , , , 
3,3,2,2, , ,0, ,1, ,5, ,5,5,4,4.666666667, , , , 
4,3, , ,6,5, ,0, ,1, ,3, , , , ,4,3,3,3.333333333
5,3, , ,5,5, ,-1, ,1, ,5, , , , ,6,4,3,4.333333333
1,3, , ,6,6, ,0, ,1, ,1, , , , ,1,2,2,1.666666667
5,1, , ,6,3, ,-1, ,1, ,5, , , , ,4,5,4,4.333333333
1,2, , ,7,6, ,1, ,1, ,1, , , , ,2,2,1,1.666666667
3,3, , ,4,3, ,0, ,1, ,4, , , , ,4,5,4,4.333333333
5,1, , ,6,4, ,0, ,1, ,3, , , , ,4,3,4,3.666666667
2,2, , ,6,5, ,1, , , ,2, , , , ,2,3,1,2
1,2, , ,4,6, ,1, ,1, ,1, , , , ,1,1,1,1
3,2, , ,6,5, ,-1, ,1, ,3, , , , ,2,2,2,2
5,3,2,6, , ,1, , , ,1, ,1,1,3,1.666666667, , , , 
3,3, , ,6,5, ,-1, ,1, ,4, , , , ,3,4,4,3.666666667
4,3,2,5, , ,0, ,1, ,4, ,3,3,3,3, , , , 
5,1,2,6, , ,0, ,1, ,3, ,3,2,3,2.666666667, , , , 
5, ,2,4, , ,0, ,1, ,4, ,3,3,3,3, , , , 
6,1,2,5, , ,1, ,1, ,4, ,3,4,4,3.666666667, , , , 
3,2,2,4, , ,-1, ,1, ,4, ,4,3,3,3.333333333, , , , 
1,2, , ,6,5, ,-1, ,1, ,3, , , , ,1,2,2,1.666666667
1,2,2,2, , ,1, , , ,5, ,5,5,4,4.666666667, , , , 
3,2,2,5, , ,-1, ,1, ,4, ,5,5,4,4.666666667, , , , 
3,2,3,3, , ,0, ,1, ,4, ,4,4,4,4, , , , 
2,2,2,3, , ,-1, ,1, ,4, ,4,5,4,4.333333333, , , , 
2,2, , ,6,4, ,0, ,1, ,4, , , , ,2,3,2,2.333333333
4,4,4,5, , ,-1, ,1, ,4, ,4,5,3,4, , , , 
5,3,2,4, , ,-1, ,1, ,4, ,4,3,4,3.666666667, , , , 
3,3,3,3, , ,-1, ,1, ,4, ,3,2,3,2.666666667, , , , 
1,2, , ,6,5, ,1, ,1, ,2, , , , ,1,2,3,2
5,3, , ,6,5, ,-1, ,1, ,2, , , , ,2,2,3,2.333333333
4,3,2,4, , ,1, ,1, ,3, ,3,3,3,3, , , , 
7,2,6,5, , ,0, ,1, ,2, ,3,1,2,2, , , , 
1,2, , ,6,5, ,-1, ,1, ,3, , , , ,3,2,3,2.666666667
3,2, , ,6,5, ,-1, ,1, ,4, , , , ,5,4,2,3.666666667
6,1, , ,5,1, ,1, ,1, ,5, , , , ,6,5,4,5
2,2,2,5, , ,1, ,1, ,5, ,5,5,4,4.666666667, , , , 
5,1,2,3, , ,1, , , ,4, ,4,4,3,3.666666667, , , , 
7,3,2,3, , ,-1, ,1, ,4, ,4,3,3,3.333333333, , , , 
3,3, , ,6,3, ,-1, ,1, ,5, , , , ,4,4,4,4
4,3,2,5, , ,1, ,1, ,4, ,2,3,3,2.666666667, , , , 
2,3, , ,6,4, ,0, ,1, ,2, , , , ,3,4,4,3.666666667
2,2, , ,5,3, ,1, , , ,4, , , , ,5,4,3,4
3,2, , ,6,5, ,0, ,1, ,4, , , , ,4,3,4,3.666666667
5,1, , ,6,3, ,0, ,1, ,4, , , , ,5,5,4,4.666666667
5,1, , ,6,5, ,1, ,1, ,1, , , , ,1,1,1,1
2,2,2,3, , ,-1, ,1, ,5, ,4,5,4,4.333333333, , , , 
3,2, , ,6,5, ,1, ,1, ,3, , , , ,3,3,3,3
3,3, , ,6,4, ,0, ,1, ,4, , , , ,5,5,4,4.666666667
3,2,2,4, , ,1, ,1, ,5, ,4,4,4,4, , , , 
2,2, , ,6,5, ,-1, ,1, ,1, , , , ,2,3,3,2.666666667
3,2,2,3, , ,0, ,1, ,5, ,4,4,5,4.333333333, , , , 
4,3, , ,5,1, ,1, ,1, ,3, , , , ,4,4,4,4
4,3,2,6, , ,0, ,1, ,1, ,1,1,1,1, , , , 
5,3,2,3, , ,-1, ,1, ,3, ,4,3,3,3.333333333, , , , 
2,2, , ,6,5, ,-1, , , ,3, , , , ,5,4,3,4
2,2, , ,6,6, ,-1, ,1, ,1, , , , ,2,3,2,2.333333333
4,3, , ,5,6, ,0, ,1, ,1, , , , ,2,1,3,2
3,2, , ,7,6, ,0, ,1, ,3, , , , ,1,3,1,1.666666667
7,1, , ,6,3, ,0, ,1, ,6, , , , ,6,6,4,5.333333333
3,2,5,3, , ,1, , , ,3, ,3,3,4,3.333333333, , , , 
1,2,2,3, , ,0, ,1, ,6, ,4,5,4,4.333333333, , , , 
6,4, , ,5,4, ,1, ,1, ,2, , , , ,2,1,1,1.333333333
5,1, , ,6,4, ,1, , , ,4, , , , ,5,4,4,4.333333333
1,3,2,3, , ,-1, ,1, ,4, ,5,4,3,4, , , , 
3,2,3,4, , ,0, ,1, ,4, ,4,4,3,3.666666667, , , , 
1,3,2,3, , ,0, ,1, ,5, ,5,5,4,4.666666667, , , , 
4,3, , ,6,5, ,0, ,1, ,2, , , , ,3,4,2,3
2,3,2,3, , ,0, ,1, ,4, ,5,5,4,4.666666667, , , , 
7,1, , ,6,2, ,0, ,1, ,5, , , , ,6,5,5,5.333333333
4,3,2,5, , ,-1, ,1, ,3, ,3,4,3,3.333333333, , , , 
4,3,2,5, , ,1, ,1, ,4, ,3,3,3,3, , , , 
2,3,2,4, , ,0, ,1, ,3, ,5,4,3,4, , , , 
2,2,3,4, , ,-1, ,1, ,4, ,4,5,4,4.333333333, , , , 
5,3, , ,4,1, ,-1, ,1, ,2, , , , ,5,4,4,4.333333333
1,2, , ,6,6, ,-1, ,1, ,2, , , , ,1,2,2,1.666666667
5,1,2,5, , ,1, ,1, ,5, ,4,3,4,3.666666667, , , , 
2,3,3,3, , ,1, ,1, ,4, ,5,4,4,4.333333333, , , , 
3,3,2,5, , ,0, ,1, ,4, ,5,4,4,4.333333333, , , , 
1,3, , ,7,6, ,0, ,1, ,1, , , , ,1,2,2,1.666666667
1,3, , ,6,6, ,0, ,1, ,1, , , , ,1,2,1,1.333333333
1,4, , ,6,6, ,0, ,1, ,1, , , , ,1,1,2,1.333333333
4,3, , ,6,5, ,-1, ,1, ,2, , , , ,3,3,1,2.333333333
3,2,2,4, , ,0, ,1, ,4, ,5,4,4,4.333333333, , , , 
2,2, , ,5,5, ,-1, ,1, ,3, , , , ,4,6,3,4.333333333
4,2,2,4, , ,-1, ,1, ,4, ,3,4,3,3.333333333, , , , 
2,2,2,2, , ,1, ,1, ,4, ,5,5,4,4.666666667, , , , 
6,1, , ,6,1, ,1, ,1, ,5, , , , ,5,4,4,4.333333333
4,3,2,4, , ,-1, ,1, ,5, ,4,5,4,4.333333333, , , , 
4,3,2,1, , ,1, ,1, ,3, ,4,4,3,3.666666667, , , , 
4,2, , ,6,4, ,1, ,1, ,3, , , , ,2,3,3,2.666666667
5,1,2,4, , ,0, ,1, ,4, ,4,4,3,3.666666667, , , , 
7,1,2,6, , ,-1, ,1, ,1, ,1,1,1,1, , , , 
1,2, , ,6,6, ,1, ,1, ,3, , , , ,5,2,2,3
2,2,2,2, , ,-1, ,1, ,5, ,6,6,4,5.333333333, , , , 
1,2,2,3, , ,-1, ,1, ,3, ,5,6,4,5, , , , 
1,2, , ,6,6, ,1, ,1, ,1, , , , ,1,1,1,1
5,1, , ,5,3, ,-1, ,1, ,3, , , , ,3,4,3,3.333333333
4,3, , ,4,3, ,0, ,1, ,4, , , , ,4,4,4,4
3,2, , ,5,3, ,0, ,1, ,4, , , , ,4,4,2,3.333333333
1,2, , ,6,5, ,-1, ,1, ,1, , , , ,1,1,1,1
4,3,4,3, , ,1, ,1, ,4, ,4,4,3,3.666666667, , , , 
4,1,3,2, , ,0, ,1, ,5, ,4,5,4,4.333333333, , , , 
2,2,2,3, , ,1, , , ,5, ,5,6,4,5, , , , 
4,3, , ,6,5, ,1, ,1, ,3, , , , ,3,3,3,3
2,3,2,4, , ,0, ,1, ,3, ,4,5,4,4.333333333, , , , 
4,3, , ,6,4, ,-1, ,1, ,4, , , , ,4,4,4,4
4,2,3,3, , ,1, ,1, ,3, ,4,4,4,4, , , , 
5,3,2,3, , ,-1, ,1, ,4, ,3,3,3,3, , , , 
2,2, , ,6,3, ,1, ,1, ,5, , , , ,5,4,2,3.666666667
3,2, , ,6,5, ,0, ,1, ,1, , , , ,2,3,3,2.666666667
3,2, , ,6,5, ,1, ,1, ,2, , , , ,2,2,2,2
